--------- beginning of crash
--------- beginning of system
--------- beginning of main
09-05 15:04:42.786 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.37366228338584456，target_2 =  514092.8729850685， target_3 =  94583.0， target_4 = 0.2722210164941808, index = 76
09-05 15:04:42.787 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.6429992145354143，target_2 =  700833.9065347186， target_3 =  96637.0， target_4 = 0.19792855699910936, index = 77
09-05 15:04:42.787 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.6223670867944875，target_2 =  1111273.2550136247， target_3 =  96944.0， target_4 = 0.21048485580508397, index = 78
09-05 15:04:42.787 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.5878011354041789，target_2 =  533252.672547432， target_3 =  96208.0， target_4 = 0.2164818656879515, index = 79
09-05 15:04:42.787 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.6638092610254469，target_2 =  1435688.779658964， target_3 =  98186.0， target_4 = 0.18541551277600193, index = 80
09-05 15:04:42.788 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.6209998697813581，target_2 =  1141790.1788463227， target_3 =  97064.0， target_4 = 0.20988313712566928, index = 81
09-05 15:04:42.788 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.5730706807370031，target_2 =  511481.11915984383， target_3 =  96091.0， target_4 = 0.21950837935534562, index = 82
09-05 15:04:42.788 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.6540026974196412，target_2 =  1278767.9796314065， target_3 =  98772.0， target_4 = 0.23778336757227794, index = 83
09-05 15:04:42.788 11552 11622 I BitmapRecognizeUtils: similar ： target  ==-0.006003466929116043，target_2 =  498501.42424407834， target_3 =  72773.0， target_4 = 0.4440015119690477, index = 84
09-05 15:04:42.789 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.23713717780446622，target_2 =  641269.6324358535， target_3 =  94724.0， target_4 = 0.32278069100325907, index = 85
09-05 15:04:42.789 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.07328371587724385，target_2 =  708722.9656071863， target_3 =  88479.0， target_4 = 0.3869026005389368, index = 86
09-05 15:04:42.789 11552 11622 I BitmapRecognizeUtils: similar ： target  ==-0.13953856153694266，target_2 =  588011.0265397679， target_3 =  80333.0， target_4 = 0.4335819910177108, index = 87
09-05 15:04:42.789 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.2127880830196662，target_2 =  637299.4629930153， target_3 =  91360.0， target_4 = 0.3474749446343833, index = 88
09-05 15:04:42.790 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.3522869796195608，target_2 =  1093027.946349462， target_3 =  97971.0， target_4 = 0.294566397193349, index = 89
09-05 15:04:42.790 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.3842018163308071，target_2 =  728043.8004625594， target_3 =  82216.0， target_4 = 0.3293704467070344, index = 90
09-05 15:04:42.790 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.5594575982795993，target_2 =  1225135.7322915432， target_3 =  98291.0， target_4 = 0.20948114827426548, index = 91
09-05 15:04:42.790 11552 11622 I BitmapRecognizeUtils: similar ： target  ==0.37728578131538915，target_2 =  550904.0529110273， target_3 =  88273.0， target_4 = 0.2907966274466784, index = 92
09-05 15:04:42.790 11552 11622 I BitmapRecognizeUtils: end to compare = 空
09-05 15:09:01.550 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3376104871430449，target_2 =  443218.8529212846， target_3 =  100317.0， target_4 = 0.3457986137679159, index = 47
09-05 15:09:01.551 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3761323980850147，target_2 =  716228.1609861803， target_3 =  111324.0， target_4 = 0.3440134786908827, index = 48
09-05 15:09:01.551 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.5819269165308601，target_2 =  352109.96037655696， target_3 =  121935.0， target_4 = 0.26835687587005225, index = 49
09-05 15:09:01.551 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.6460242295126422，target_2 =  274494.280397394， target_3 =  123292.0， target_4 = 0.25102157336788256, index = 50
09-05 15:09:01.551 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.26214996244067984，target_2 =  1484575.1788061296， target_3 =  116586.0， target_4 = 0.3611085456308795, index = 51
09-05 15:09:01.552 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.28170925262993635，target_2 =  1000662.3213442647， target_3 =  106938.0， target_4 = 0.36933548897874874, index = 52
09-05 15:09:01.552 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.45576405394279346，target_2 =  616201.7039471058， target_3 =  118618.0， target_4 = 0.30783785681167475, index = 53
